"(11.58528,122.75111),"
"(-12.98078,-72.876651),"
"(62.942705,-155.56711),"
"(42.061914,2.819512),"
"(43.64877,-79.38171),"
"(52.585574,-2.122212),"
"(33.782546,-105.445153),"
"(35.695126,139.75391),"
"(43.312063,-0.352943),"
"(36.190364,-115.279104),"
"(33.72148,73.04329),"
"(-12.658904,-72.800758),"
"(25.058464,121.549514),"
"(21.732568,105.396672),"
"(22.412321,79.132924),"
"(52.554205,5.501896),"
"(49.219469,33.023452),"

"(40.68295,-73.9708),"
"(18.216099,-66.434014),"
"(49.53214,-115.75812),"
"(55.966966,9.018163),"
"(16.06778,108.22083),"
"(63.314401,93.884016),"
"(45.940117,-112.507864),"
"(25.058464,121.549514),"
"(40.875301,-78.727508),"
"(-29.708985,23.666291),"
"(39.760983,-84.198952),"
"(39.664685,-75.566167),"
"(16.33333,-61.41667),"
"(38.413815,-82.428601),"
"(10.112683,105.524274),"
"(61.195429,-149.358257),"
"(12.25,109.18333),"
"(21.732568,105.396672),"
"(23.7104,90.40744),"
"(24.734319,81.334404),"
"(44.154529,28.305084),"
"(29.328493,68.546268),"
"(13.005374,80.1907),"
"(29.328493,68.546268),"
"(36.7525,3.04197),"
"(59.911039,30.340232),"
"(26.666955,18.030248),"
"(40.504919,-74.367954),"

"(44.730768,4.597281),"
"(-12.98078,-72.876651),"
"(61.244863,73.401863),"
"(-22.835366,-42.118568),"
"(38.199338,128.58899),"
"(8.494073,-71.308093),"
"(63.314401,93.884016),"
"(18.449202,-67.154594),"
"(-1.241567,-78.322784),"
"(26.174722,91.774975),"
"(34.03134,-117.604914),"
"(49.219469,33.023452),"
"(12.35275,121.06761),"
"(36.709121,-110.255667),"
"(53.996833,8.3645),"
"(42.974874,-71.428478),"
"(32.986698,-111.540578),"
"(14.64072,-90.51327),"
"(64.724809,-153.629618),"
"(45.310092,17.129622),"
"(-33.915366,18.543149),"
"(37.278298,-79.959272),"
"(55.704438,12.502119),"

"(34.185609,-117.936392),"
"(41.308658,-72.925297),"
"(52.585574,-2.122212),"
"(-18.463304,-70.295559),"
"(40.096901,-123.794472),"
"(43.449217,142.777095),"
"(61.195429,-149.358257),"
"(12.65,-8),"
"(14.6042,120.9822),"
"(52.282563,104.315805),"
"(36.13793,138.441899),"
"(37.778008,-122.431272),"
"(43.312063,-0.352943),"
"(55.648107,105.565969),"
"(61.097679,-146.312352),"
"(49.753293,11.541875),"
"(44.33272,-69.731956),"
"(9.83999,77.38109),"
"(58.503052,-134.249544),"
"(53.694838,9.92328),"
"(32.30835,-90.229913),"
"(63.314401,93.884016),"
"(50.121609,30.435489),"
"(-9.069732,-68.654564),"
"(50.995662,3.420598),"
"(55.741469,37.615561),"
"(36.980806,-112.982989),"
"(37.999059,-79.819208),"
"(1.875745,-75.030474),"
"(40.760334,-89.615639),"
"(13.726053,109.16044),"
"(40.727489,-75.39266),"
"(43.05059,10.623993),"
"(13.2196,123.7655),"
"(63.314401,93.884016),"
"(23.798532,120.955426),"
"(16.462624,107.570819),"
"(51.544288,46.008014),"
"(35.795543,-78.64439),"
"(-11.889573,22.900039),"
"(42.685984,23.326714),"
"(-9.707104,-76.176674),"
"(18.514317,-88.300503),"
"(38.968486,-75.57219),"
"(42.204762,-98.748606),"
"(37.00167,35.32889),"
"(4.71638,-74.21195),"
"(5.732542,-75.989257),"
"(50.8969,15.00635),"
"(-7.030024,109.198608),"


"(10.46314,-73.25322),"
"(18.846354,102.315852),"
"(32.30835,-90.229913),"
"(34.713561,-92.355844),"
"(43.35083,-114.804487),"
"(19.647634,-155.533256),"
"(42.65756,-73.789994),"
"(32.729442,-97.33181),"
"(25.493374,56.237338),"
"(-34.164195,18.866039),"
"(19.43535,102.560667),"
"(7.496629,-66.938509),"
"(-22.935024,-43.518246),"
"(41.468499,13.335536),"
"(40.68295,-73.9708),"
"(9.02497,38.74689),"
"(-6.03416,-76.97168),"
"(19.43535,102.560667),"
"(21.732568,105.396672),"
"(56.1325,101.61417),"
"(38.131744,13.190058),"
"(7.18646,-64.568705),"
"(10.954552,108.22225),"
"(35.128683,-106.579128),"
"(-12.101364,13.88649),"
"(54.180729,7.889039),"
"(29.391673,-90.708591),"
"(-7.611057,-72.682291),"
"(32.729442,-97.33181),"
"(61.097679,-146.312352),"
"(37.237577,-96.989359),"
"(31.649504,-7.189711),"
"(13.98333,108),"
"(-33.428532,-70.630133),"
"(21.732568,105.396672),"
"(28.709498,77.184029),"
"(13.98333,108),"
"(29.271386,-97.637428),"
"(16.46667,107.6),"
"(44.47369,41.144912),"
"(51.46735,-0.458127),"
"(18.002433,-66.6248),"
"(42.323765,-77.658788),"
"(44.265929,-88.394699),"
"(53.8141,-3.03862),"
"(39.440688,-116.598569),"
